run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
11,489,95,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,96,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,97,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,98,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,99,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,100,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
12,490,1,79.234973,0.240000,7,"((x8 - x4) - (2 - x8))","((irradiat - node_caps) - (2 - irradiat))"
12,490,2,79.781421,0.097561,9,"((x6 * (x1 - 4)) + (x3 - 3))","((breast * (menopause - 4)) + (inv_nodes - 3))"
12,490,3,81.420765,0.392857,7,"((x8 + x4) - (2 - x6))","((irradiat + node_caps) - (2 - breast))"
12,490,4,81.420765,0.392857,7,"((x8 + x4) - (2 - x6))","((irradiat + node_caps) - (2 - breast))"
12,490,5,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,6,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,7,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,8,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,9,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,10,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,11,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,12,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,13,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,14,81.967213,0.400000,7,"((x5 * x8) + (x3 - 3))","((degree_of_malignancy * irradiat) + (inv_nodes - 3))"
12,490,15,81.967213,0.421053,15,"(((x5 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((degree_of_malignancy * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,16,81.967213,0.421053,15,"(((x5 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((degree_of_malignancy * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,17,81.967213,0.421053,15,"(((x5 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((degree_of_malignancy * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,18,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,19,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,20,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,21,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,22,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,23,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,24,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
12,490,25,82.513661,0.448276,15,"(((3 * x8) + ((3 / x3) + (x3 - 3))) - (2 - x6))","(((3 * irradiat) + ((3 / inv_nodes) + (inv_nodes - 3))) - (2 - breast))"
